Firstname;Lastname;Title;Department
Mikkel;Schrøder;Administrations Konsulent;Staben
Gitte;Meyer;Administrations Konsulent;Staben
Finn;Storm ;Administrations Konsulent;Staben
Mary;Bjerregaard;Administrations Konsulent;Staben
Inger;Pilmark;Administrations Konsulent;Staben
Line;Arendt;Administrations Konsulent;Staben
Bodil;Mogensen;Administrations Konsulent;Staben
Gitte;Ballin;Administrations Konsulent;Staben
Ida;Skov;Administrations Konsulent;Staben
Maja;Kramp;Administrations Konsulent;Staben
Gudrun;Krogh;Administrations Konsulent;Staben
Søren;Nørgaard;Administrations Konsulent;Staben
Frederik;Nielsen;Administrations Konsulent;Staben
Bjarne;Thomassen;Administrations Konsulent;Staben
Lis;Thomassen;Administrations Konsulent;Staben
Holger;Vestager;Administrations Konsulent;Staben
Lene;Andersen;Administrations Konsulent;Staben
Ida;Bjerre;Administrations Konsulent;Staben
Mathias;Petersen;Administrations Konsulent;Staben
Bjarne;Bertelsen;Administrations Konsulent;Staben
Lis;Østergaard;Administrations Konsulent;Staben
Tobias;Topsøe;Administrations Konsulent;Staben
Sebastian;Vestager;Administrations Konsulent;Staben
Henrik;Vestergård;Administrations Konsulent;Staben
Bente;Bisgård;Administrations Konsulent;Staben
Arne;Bak;Administrations Konsulent;Staben
Clara;Lorentzen;Administrations Konsulent;Staben
Malene;Petersen;Administrations Konsulent;Staben
Erik;Pedersen;Administrations Konsulent;Staben
Victor;Ravn;Administrations Konsulent;Staben
Paul;Bach;Administrations Konsulent;Staben
Gitte;Dalgård;Administrations Konsulent;Staben
Oliver;Karlsen;Administrations Konsulent;Staben
Otto;Bang;Administrations Konsulent;Staben
Ida;Bjerre;Administrations Konsulent;Staben
Finn;Bruun;Administrations Konsulent;Staben
Kasper;Jacobsen;Administrations Konsulent;Staben
Gorm;Engelstoft;Administrations Konsulent;Staben
Otto;Lund;Administrations Konsulent;Staben
Erna;Bundgaard;Administrations Konsulent;Staben
Kamilla;Svensson;Administrations Konsulent;Staben
Clara;Markussen;Administrations Konsulent;Staben
Kurt;Panum;Administrations Konsulent;Staben
Emma;Hedegaard;Administrations Konsulent;Staben
Ingeborg;Bertelsen;Administrations Konsulent;Staben
Preben;Thomassen;Administrations Konsulent;Staben
Mette;Kruse;Administrations Konsulent;Staben
Hanne;Frederiksen;Administrations Konsulent;Staben
Caroline;Eskildsen;Administrations Konsulent;Staben
Preben;Leth;Administrations Konsulent;Staben
Katrine;Bach;Administrations Konsulent;Staben
Anne;Gade;Administrations Konsulent;Staben
Karen;Hansen;Administrations Konsulent;Staben
Johanne;Passer ;Administrations Konsulent;Staben
Jan;Mouritsen;Administrations Konsulent;Staben
Johannes;Lauridsen;Administrations Konsulent;Staben
Signe;Thorø;Administrations Konsulent;Staben
Hanne;Lorentzen;Administrations Konsulent;Staben
Christian;Storm ;Administrations Konsulent;Staben
Per;Buch;Administrations Konsulent;Staben
Bent;Christiansen;Administrations Konsulent;Staben
Grethe;Sørensen;Administrations Konsulent;Staben
Bent;Heller;Administrations Konsulent;Staben
Freja;Bonde;Administrations Konsulent;Staben
Åge;Damgård;Administrations Konsulent;Staben
Henrik;Thygesen;Administrations Konsulent;Staben
Andreas;Sommer;Administrations Konsulent;Staben
Ellen;Frandsen;Administrations Konsulent;Staben
Karoline;Meinert;Administrations Konsulent;Staben
Emilie;Bundgård;Administrations Konsulent;Staben
Birgit;Rohde;Administrations Konsulent;Staben
Sebastian;Overgaard;Administrations Konsulent;Staben
Mathias;Lauritzen;Administrations Konsulent;Staben
Signe;Jespersen;Administrations Konsulent;Staben
Elisabeth;Hoffmann;Administrations Konsulent;Staben
Otto;Winther;Administrations Konsulent;Staben
Poul;Andreasen;Administrations Konsulent;Staben
Kristoffer;Hunnerup;Administrations Konsulent;Staben
Emma;Søgaard;Administrations Konsulent;Staben
Helene;Lund;Administrations Konsulent;Staben
Tove;Hoffmann;Administrations Konsulent;Staben
Mads;Carstensen;Administrations Konsulent;Staben
Freja;Holm;Administrations Konsulent;Staben
Anne;Mølgaard;Administrations Konsulent;Staben
Cecilie;Justesen;Administrations Konsulent;Staben
Kaj;Krog ;Administrations Konsulent;Staben
Anders;Dalgård;Administrations Konsulent;Staben
Maria;Bruun;Administrations Konsulent;Staben
Harald;Bjerregaard;Administrations Konsulent;Staben
Irene;Lauritsen;Administrations Konsulent;Staben
Mathilde;Gade;Administrations Konsulent;Staben
Michael;Kjærgaard;Administrations Konsulent;Staben
Leif;Bernstorff;Administrations Konsulent;Staben
Karen;Nikolajsen;Administrations Konsulent;Staben
Christian;Simonsen;Administrations Konsulent;Staben
Rasmus;Bjerregaard;Administrations Konsulent;Staben
Arne;Hemmingsen;Administrations Konsulent;Staben
Otto;Meinert;Administrations Konsulent;Staben
Charlotte;Michelsen;Administrations Konsulent;Staben
Bodil;Dybvad;Administrations Konsulent;Staben
Clara;Enevoldsen;Administrations Konsulent;Staben
Sebastian;Matthesen;Administrations Konsulent;Staben
Mathias;Villadsen;Administrations Konsulent;Staben
Poul;Michaelsen;Hospitalsdirektør;Hospitalsledelsen
Ida;Gotke;Sygeplejefaglig direktør;Hospitalsledelsen
Jens;Bak;Lægefaglig direktør;Hospitalsledelsen
Dea;Kehler;Ledende Overlæge;Akut
Mette;Frøjk;Ledende Oversygeplejeske;Akut
Ole;Juul;Sygeplejeske;Akut
Christoffer;Jakobsen;Sygeplejeske;Akut
Holger;Svendsen;Sygeplejeske;Akut
Kirstine;Henriksen;Sygeplejeske;Akut
Sofie;Meinert;Sygeplejeske;Akut
Ove;Steffensen;Sygeplejeske;Akut
Johannes;Munk;Sygeplejeske;Akut
Kim;Hjorth;Sygeplejeske;Akut
Inger;Bøttger;Sygeplejeske;Akut
Kamilla;Karlsen;Sygeplejeske;Akut
Lis;Hald;Sygeplejeske;Akut
Åge;Olsson;Sygeplejeske;Akut
Henrik;Schultz;Sygeplejeske;Akut
Anders;Mærsk;Sygeplejeske;Akut
Lene;Lund;Sygeplejeske;Akut
Christoffer;Buch;Sygeplejeske;Akut
Kasper;Brandt;Sygeplejeske;Akut
Aage;Petersen;Sygeplejeske;Akut
Bent;Mørk;Sygeplejeske;Akut
Egon;Petersen;Sygeplejeske;Akut
Lærke;Bendtsen;Sygeplejeske;Akut
Karoline;Larsen;Sygeplejeske;Akut
Kaj;Munk;Sygeplejeske;Akut
Niels;Hald;Sygeplejeske;Akut
Erna;Andersen;Sygeplejeske;Akut
Mathias;Troelsgaard;Sygeplejeske;Akut
Egon;Søndergård;Sygeplejeske;Akut
Harald;Dybvad;Sygeplejeske;Akut
Bodil;Winther;Sygeplejeske;Akut
Peter;Laursen;Sygeplejeske;Akut
Erna;Millang;Sygeplejeske;Akut
Birgitte;Topsøe;Sygeplejeske;Akut
Sofie;Schmidt;Sygeplejeske;Akut
Grethe;Bøttger;Sygeplejeske;Akut
Kristoffer;Hansen ;Sygeplejeske;Akut
Rasmus;Laursen;Sygeplejeske;Akut
Marianne;Enevoldsen;Sygeplejeske;Akut
Maria;Clausen;Sygeplejeske;Akut
Paul;Frederiksen;Sygeplejeske;Akut
Kristine;Rasmussen;Sygeplejeske;Akut
Helle;Schou;Sygeplejeske;Akut
Peder;Nygaard;Sygeplejeske;Akut
Amalie;Carstensen;Sygeplejeske;Akut
Thomas;Tvedebrink;Sygeplejeske;Akut
Leif;Kjærgård;Sygeplejeske;Akut
Anna;Paulsen;Sygeplejeske;Akut
Maria;Mølgård;Sygeplejeske;Akut
Kim;Kristiansen;Sygeplejeske;Akut
Lene;Krogh;Sygeplejeske;Akut
Kurt;Bak;Sygeplejeske;Akut
Hanne;Bjerre;Sygeplejeske;Akut
Bodil;Vestager;Sygeplejeske;Akut
Lars;Dybvad;Sygeplejeske;Akut
Morten;Lauritzen;Sygeplejeske;Akut
Kristian;Stokholm;Sygeplejeske;Akut
Jette;Beck;Sygeplejeske;Akut
Kamilla;Andersen;Sygeplejeske;Akut
Harald;Hermansen;Sygeplejeske;Akut
Else;Arendt;Sygeplejeske;Akut
Kaj;Bjørnholt;Sygeplejeske;Akut
Lone;Engelstoft;Sygeplejeske;Akut
Helene;Lund ;Sygeplejeske;Akut
Carl;Monrad;Sygeplejeske;Akut
Lone;Matthesen;Sygeplejeske;Akut
Torben;Lange;Sygeplejeske;Akut
Ole;Karlsen;Sygeplejeske;Akut
Bodil;Gade;Sygeplejeske;Akut
Pelle;Albæk;Sygeplejeske;Akut
Kamilla;Mølgård;Sygeplejeske;Akut
Alfred;Storm ;Sygeplejeske;Akut
Knud;Pedersen;Sygeplejeske;Akut
Svend;Østergaard;Sygeplejeske;Akut
Joachim;Bundgaard;Sygeplejeske;Akut
Daniel;Madsen;Sygeplejeske;Akut
Inge;Thorø;Sygeplejeske;Akut
Daniel;Carstensen;Sygeplejeske;Akut
Ingeborg;Johansen;Sygeplejeske;Akut
Henning;Nielsen;Sygeplejeske;Akut
Karina;Thomsen;Sygeplejeske;Akut
Freja;Matthesen;Sygeplejeske;Akut
Jette;Hjortshøj;Sygeplejeske;Akut
Grethe;Hemmingsen;Sygeplejeske;Akut
Marcus;Larsen;Sygeplejeske;Akut
Anne;Villadsen;Sygeplejeske;Akut
Jørgen;Carstensen;Sygeplejeske;Akut
Preben;Kjeldsen;Sygeplejeske;Akut
Grethe;Klausen;Sygeplejeske;Akut
Kaj;Birch;Sygeplejeske;Akut
Bodil;Sørensen;Sygeplejeske;Akut
Kasper;Bøttger;Sygeplejeske;Akut
Amalie;Bruun;Sygeplejeske;Akut
Thomas;Sørensen;Sygeplejeske;Akut
Paul;Ballin;Sygeplejeske;Akut
Kamilla;Schrøder;Sygeplejeske;Akut
Egon;Kramp;Sygeplejeske;Akut
Kristian;Fischer;Sygeplejeske;Akut
Joachim;Olsen;Sygeplejeske;Akut
Jan;Meinert;Sygeplejeske;Akut
Lucas;Vestergaard;Sygeplejeske;Akut
Anne;Bertelsen;Sygeplejeske;Akut
Mathias;Møller;Sygeplejeske;Akut
Victor;Lorentzen;Sygeplejeske;Akut
Elisabeth;Thorø;Sygeplejeske;Akut
Marie;Thorø;Sygeplejeske;Akut
Margrethe;Klausen;Sygeplejeske;Akut
Kaj;Michelsen;Sygeplejeske;Akut
Henry;Nikolajsen;Sygeplejeske;Akut
Anders;Søgaard;Sygeplejeske;Akut
Marianne;Jessen;Sygeplejeske;Akut
Mary;Meinert;Sygeplejeske;Akut
Erik;Berendsen;Sygeplejeske;Akut
Emma;Buhr;Sygeplejeske;Akut
Michael;Bjerregaard;Sygeplejeske;Akut
Johannes;Prahl;Sygeplejeske;Akut
Lise;Kristensen;Sygeplejeske;Akut
Børge;Westermann;Sygeplejeske;Akut
Abel;Hjortshøj;Sygeplejeske;Akut
Niels;Jakobsen;Sygeplejeske;Akut
Henry;Hoffmann;Sygeplejeske;Akut
Kim;Olsen;Sygeplejeske;Akut
Helene;Mørk;Sygeplejeske;Akut
Johanne;Leth;Sygeplejeske;Akut
Niels;Buch;Sygeplejeske;Akut
Mikkel;Svendsen;Sygeplejeske;Akut
Sebastian;Bjerre;Sygeplejeske;Akut
Tobias;Danielsen;Sygeplejeske;Akut
Edith;Iversen;Sygeplejeske;Akut
Marie;Jacobsen;Sygeplejeske;Akut
Mikkel;Overgård;Sygeplejeske;Akut
Michael;Schou;Sygeplejeske;Akut
Charlotte;Bertelsen;Sygeplejeske;Akut
Louise;Thorsen;Sygeplejeske;Akut
Pia;Bruun;Sygeplejeske;Akut
Oluf;Thøgersen;Sygeplejeske;Akut
Hans;Schultz;Sygeplejeske;Akut
Sebastian;Jakobsen;Sygeplejeske;Akut
Irene;Bundgård;Sygeplejeske;Akut
Gorm;Frost;Sygeplejeske;Akut
Johanne;Nørgård;Sygeplejeske;Akut
Hans;Topsøe;Sygeplejeske;Akut
Knud;Matthesen;Sygeplejeske;Akut
Line;Christiansen;Sygeplejeske;Akut
Silke;Mathiesen;Sygeplejeske;Akut
Mette;Arreborg;Sygeplejeske;Akut
Jakob;Schultz;Sygeplejeske;Akut
Lis;Kofoed;Sygeplejeske;Akut
Emma;Dalsgaard;Sygeplejeske;Akut
Maria;Tvedebrink;Sygeplejeske;Akut
Erna;FuhlenDorff;Sygeplejeske;Akut
Kim;Svendsen;Sygeplejeske;Akut
John;Thomassen;Sygeplejeske;Akut
Kasper;Jeppesen;Sygeplejeske;Akut
Viggo;Damgård;Sygeplejeske;Akut
Johanne;Hald;Sygeplejeske;Akut
Flemming;Olsson;Sygeplejeske;Akut
Tobias;Svendsen;Sygeplejeske;Akut
Mikkel;Stokholm;Sygeplejeske;Akut
Freja;Carstensen;Sygeplejeske;Akut
Julie;Thomassen;Sygeplejeske;Akut
Karina;Buhr;Sygeplejeske;Akut
Nikolaj;Steenstrup;Sygeplejeske;Akut
Christine;Bach;Sygeplejeske;Akut
Julie;Mølgård;Sygeplejeske;Akut
Per;Juul;Sygeplejeske;Akut
Birgitte;Kjær;Sygeplejeske;Akut
Klara;Nilsson;Sygeplejeske;Akut
Andreas;Nørgård;Sygeplejeske;Akut
Sebastian;Laursen;Sygeplejeske;Akut
Kaj;Svensson;Sygeplejeske;Akut
Maria;Toft;Sygeplejeske;Akut
Valdemar;Dahl;Sygeplejeske;Akut
Jens;Strandberg;Sygeplejeske;Akut
Christian;Carstensen;Sygeplejeske;Akut
Jonas;Danielsen;Sygeplejeske;Akut
Oluf;Huneke;Sygeplejeske;Akut
Cecilie;Munk;Sygeplejeske;Akut
Kristine;Overgård;Sygeplejeske;Akut
Victor;Strandberg;Sygeplejeske;Akut
Knud;Tvedebrink;Sygeplejeske;Akut
Mathilde;Paulsen;Sygeplejeske;Akut
Charlotte;Meyer;Sygeplejeske;Akut
Alfred;Clausen;Sygeplejeske;Akut
Ole;Kjærgård;Sygeplejeske;Akut
Ingrid;Mikkelsen;Sygeplejeske;Akut
Pelle;Lund;Sygeplejeske;Akut
Arne;Damgård;Sygeplejeske;Akut
Camilla;Toft;Sygeplejeske;Akut
Elisabeth;Hougaard;Sygeplejeske;Akut
Cecilie;Persson;Sygeplejeske;Akut
Anders;Storm ;Sygeplejeske;Akut
Inge;Strandberg;Sygeplejeske;Akut
Kim;Sloth;Sygeplejeske;Akut
Birgit;Jørgensen;Sygeplejeske;Akut
Edith;Jespersen;Sygeplejeske;Akut
Paul;Stokholm;Sygeplejeske;Akut
Julie;Munk;Sygeplejeske;Akut
Hanne;Persson;Sygeplejeske;Akut
Charlotte;Hougaard;Sygeplejeske;Akut
Karoline;Lassen;Sygeplejeske;Akut
Karina;Meinert;Sygeplejeske;Akut
Maja;Mouritsen;Sygeplejeske;Akut
Birgitte;Krog;Sygeplejeske;Akut
Margrethe;Andreasen;Sygeplejeske;Akut
Mogens;Kretz;Sygeplejeske;Akut
Daniel;Clausen;Sygeplejeske;Akut
Kristoffer;Kristoffersen;Sygeplejeske;Akut
Gitte;Michelsen;Sygeplejeske;Akut
Niels;Lind;Sygeplejeske;Akut
Vibeke;Topsøe;Sygeplejeske;Akut
Bent;Nissen;Sygeplejeske;Akut
Åge;Dam;Sygeplejeske;Akut
Morten;Hald;Sygeplejeske;Akut
Irene;Jacobsen;Sygeplejeske;Akut
Kirsten;Paulsen;Sygeplejeske;Akut
Christine;Olsen;Sygeplejeske;Akut
Rasmus;Bertelsen;Sygeplejeske;Akut
Ole;Kristoffersen;Sygeplejeske;Akut
Ingeborg;Hviid;Sygeplejeske;Akut
Victor;Persson;Sygeplejeske;Akut
Lise;Carlsen;Sygeplejeske;Akut
Tove;Ballin;Sygeplejeske;Akut
Gudrun;Dybdahl;Sygeplejeske;Akut
Susanne;Lauridsen;Sygeplejeske;Akut
Emilie;Bonde;Sygeplejeske;Akut
Birgitte;Davidsen;Sygeplejeske;Akut
Jakob;Jepsen;Sygeplejeske;Akut
Tobias;Nilsson;Sygeplejeske;Akut
Jakob;Paulsen;Sygeplejeske;Akut
Agnes;Lund;Sygeplejeske;Akut
Sten;Michelsen;Sygeplejeske;Akut
Lucas;Schmidt;Sygeplejeske;Akut
Lene;Nissen;Sygeplejeske;Akut
Kristoffer;Svendsen;Sygeplejeske;Akut
Malene;Berg;Sygeplejeske;Akut
Jacob;Schou;Sygeplejeske;Akut
Inge;Huneke;Sygeplejeske;Akut
Ellen;Østergaard;Sygeplejeske;Akut
Gerda;Dyrholm;Sygeplejeske;Akut
Kim;Tvedebrink;Sygeplejeske;Akut
Klara;Damgård;Sygeplejeske;Akut
Gorm;Bundgård;Sygeplejeske;Akut
Hanne;Borg;Sygeplejeske;Akut
Carl;Schack ;Sygeplejeske;Akut
Ingeborg;Markussen;Sygeplejeske;Akut
Åse;Hjorth;Sygeplejeske;Akut
Martin;Hald;Sygeplejeske;Akut
Ida;Albæk;Sygeplejeske;Akut
Katrine;Nygård;Sygeplejeske;Akut
Jonas;Nielsen;Sygeplejeske;Akut
Anne;Dybdahl;Sygeplejeske;Akut
Joachim;Monrad;Sygeplejeske;Akut
Valdemar;Lind;Sygeplejeske;Akut
John;Sørensen;Sygeplejeske;Akut
Lene;Gade;Sygeplejeske;Akut
Karen;Markussen;Sygeplejeske;Akut
Lene;Brøgger;Sygeplejeske;Akut
Kurt;Mathiesen;Sygeplejeske;Akut
Klara;Christoffersen;Sygeplejeske;Akut
Svend;Dalgård;Sygeplejeske;Akut
Lucas;Søgård;Sygeplejeske;Akut
Michael;Mogensen;Sygeplejeske;Akut
Clara;Bisgaard;Sygeplejeske;Akut
Henrik;Mølgård;Sygeplejeske;Akut
Ulla;Koch;Sygeplejeske;Akut
Viggo;Bjørnholt;Sygeplejeske;Akut
Margrethe;Christiansen;Sygeplejeske;Akut
Kamilla;Bisgård;Sygeplejeske;Akut
Michael;Munk;Sygeplejeske;Akut
Ole;Winther;Sygeplejeske;Akut
Pernille;Heller;Sygeplejeske;Akut
Ulla;Buhr;Sygeplejeske;Akut
Emma;Jørgensen;Sygeplejeske;Akut
Åge;Ranthe;Sygeplejeske;Akut
Christoffer;Kjeldsen;Sygeplejeske;Akut
Ellen;Hunnerup;Sygeplejeske;Akut
Lene;Møller;Sygeplejeske;Akut
Ole;Hald;Sygeplejeske;Akut
Susanne;Mathiesen;Sygeplejeske;Akut
Jette;Thygesen;Sygeplejeske;Akut
Bente;Krog ;Sygeplejeske;Akut
Åge;Simonsen;Sygeplejeske;Akut
Åge;Hunnerup;Sygeplejeske;Akut
Michael;Nissen;Sygeplejeske;Akut
Mathilde;Rasmussen;Sygeplejeske;Akut
Camilla;Buch;Sygeplejeske;Akut
Henrik;Iversen;Sygeplejeske;Akut
Birte;Hansen;Sygeplejeske;Akut
Maria;Kretz;Sygeplejeske;Akut
Søren;Monrad;Sygeplejeske;Akut
Jakob;Lange;Sygeplejeske;Akut
Anders;Mouritsen;Sygeplejeske;Akut
Kirsten;Steffensen;Sygeplejeske;Akut
Christian;Huneke;Sygeplejeske;Akut
Karina;Thorsen;Sygeplejeske;Akut
Inge;Bjerregaard;Sygeplejeske;Akut
Emilie;Nikolajsen;Sygeplejeske;Akut
Freja;Frandsen;Sygeplejeske;Akut
Tove;Jensen;Sygeplejeske;Akut
Rasmus;Svensson;Sygeplejeske;Akut
Viggo;Ravn;Sygeplejeske;Akut
Pia;Mathiesen;Sygeplejeske;Akut
Clara;Buhr;Sygeplejeske;Akut
Jakob;Kramp;Sygeplejeske;Akut
Mette;Hunnerup;Sygeplejeske;Akut
Grethe;Juul;Sygeplejeske;Akut
Emma;Bisgård;Sygeplejeske;Akut
Frederik;Petersen;Sygeplejeske;Akut
Jette;Søltoft;Sygeplejeske;Akut
Jesper;Østergård;Sygeplejeske;Akut
Erna;Johansen;Sygeplejeske;Akut
Jonas;Olsson;Sygeplejeske;Akut
Flemming;Birch;Sygeplejeske;Akut
Otto;Strandberg;Sygeplejeske;Akut
Birgit;Mølgård;Sygeplejeske;Akut
Susanne;Arreborg;Sygeplejeske;Akut
Harald;Riis;Sygeplejeske;Akut
Frederik;Brøgger;Sygeplejeske;Akut
Poul;Krog;Sygeplejeske;Akut
Charlotte;Thorsen;Sygeplejeske;Akut
Ellen;Arreborg;Sygeplejeske;Akut
Gorm;Olsen;Sygeplejeske;Akut
Kasper;Stokholm;Sygeplejeske;Akut
Julie;Michelsen;Sygeplejeske;Akut
Helle;Justesen;Sygeplejeske;Akut
Laura;Jørgensen;Sygeplejeske;Akut
Lars;Frederiksen;Sygeplejeske;Akut
Karina;Bach;Sygeplejeske;Akut
Gerda;Olsen;Sygeplejeske;Akut
Viggo;Meyer;Sygeplejeske;Akut
Camilla;Krogh;Læge;Akut
Hans;Danielsen;Læge;Akut
Lene;Caspersen;Læge;Akut
Mathilde;Hansen ;Læge;Akut
Ingrid;Nørgaard;Læge;Akut
Elisabeth;Frost;Læge;Akut
Henry;Vestager;Læge;Akut
Mikkel;Asmussen;Læge;Akut
Kirsten;Nørgård;Læge;Akut
Edith;Mortensen;Læge;Akut
Ulla;Andersen;Læge;Akut
Mogens;Dybdahl;Læge;Akut
Mathilde;Skov;Læge;Akut
Jette;Thøgersen;Læge;Akut
Erik;Hansen;Læge;Akut
Charlotte;Ranthe;Læge;Akut
Holger;Mogensen;Læge;Akut
Jens;Albæk;Læge;Akut
Egon;Schou;Læge;Akut
Anders;Hermansen;Læge;Akut
Åse;Bonde;Læge;Akut
Kamilla;Leth;Læge;Akut
Jacob;Persson;Læge;Akut
Abel;Meinert;Læge;Akut
Kim;Lassen;Læge;Akut
Knud;Meyer;Læge;Akut
Malene;Mølgård;Læge;Akut
Emilie;Jacobsen;Læge;Akut
Jakob;Andersen;Læge;Akut
Caroline;Kjærsgaard;Læge;Akut
Gorm;Kjeldsen;Læge;Akut
Alfred;Bjerregaard;Læge;Akut
Sebastian;Falk;Læge;Akut
Preben;Christoffersen;Læge;Akut
Christian;Birch;Læge;Akut
Bente;Asmussen;Læge;Akut
Knud;Svensson;Læge;Akut
Valdemar;Panum;Læge;Akut
Åse;Mortensen;Læge;Akut
Irene;Bendtsen;Læge;Akut
Malene;Kragh;Læge;Akut
Ingrid;Svensson;Læge;Akut
Rasmus;Pedersen;Læge;Akut
Lis;Solberg;Læge;Akut
Thomas;Schmidt;Læge;Akut
Helene;Mærsk;Læge;Akut
Carl;Lauritzen;Læge;Akut
Henrik;Frost;Læge;Akut
Kaj;Prahl;Læge;Akut
Jette;Bisgård;Læge;Akut
Bjarne;Kallesoe;Læge;Akut
Hanne;Sloth;Læge;Akut
Ole;Brandt;Læge;Akut
Morten;Østergaard;Læge;Akut
Oliver;Westermann;Læge;Akut
Ole;Kruse;Læge;Akut
John;Sommer;Læge;Akut
Camilla;Kjeldsen;Læge;Akut
Christoffer;Nielsen;Læge;Akut
Knud;Carlsen;Læge;Akut
Erna;Sommer;Læge;Akut
Mary;Davidsen;Læge;Akut
Mathilde;Kessler;Læge;Akut
Kristoffer;Dalgård;Læge;Akut
Mary;Lange;Læge;Akut
Hanne;Østergaard;Læge;Akut
Jonas;Gade;Læge;Akut
Ingrid;Talbot;Læge;Akut
Helene;Øgendahl;Læge;Akut
Christian;Andreasen;Ledende Overlæge;AmbuFlex
Pia;Poulsen;Ledende Oversygeplejeske;AmbuFlex
Christian;Andreasen;Ambulancebehandler;AmbuFlex
Paul;Dam;Ambulancebehandler;AmbuFlex
Børge;Heller;Ambulancebehandler;AmbuFlex
Kristine;Meyer;Ambulancebehandler;AmbuFlex
Henry;Hjortshøj;Ambulancebehandler;AmbuFlex
Paul;Hjorth;Ambulancebehandler;AmbuFlex
Lucas;Aagaard;Ambulancebehandler;AmbuFlex
Edith;Riis;Ambulancebehandler;AmbuFlex
Svend;Kristoffersen;Ambulancebehandler;AmbuFlex
Marcus;Clausen;Ambulancebehandler;AmbuFlex
Erik;Meyer;Ambulancebehandler;AmbuFlex
Christian;Klausen;Ambulancebehandler;AmbuFlex
Gorm;Schack ;Ambulancebehandler;AmbuFlex
Jacob;Solberg;Ambulancebehandler;AmbuFlex
Helene;Spang;Ambulancebehandler;AmbuFlex
Lene;Gregersen;Ambulancebehandler;AmbuFlex
Mathilde;Iversen;Ambulancebehandler;AmbuFlex
Jens;Meyer;Ambulancebehandler;AmbuFlex
Ole;Dahl;Ambulancebehandler;AmbuFlex
Grethe;Falk;Ambulancebehandler;AmbuFlex
Henry;Lauritzen;Ambulancebehandler;AmbuFlex
Julie;Kjærsgaard;Ambulancebehandler;AmbuFlex
Cecilie;Vinther;Ambulancebehandler;AmbuFlex
Åse;Pedersen;Ambulancebehandler;AmbuFlex
Signe;Mortensen;Ambulancebehandler;AmbuFlex
Inger;Birch;Ambulancebehandler;AmbuFlex
Peder;Kampmann;Ambulancebehandler;AmbuFlex
Mikkel;Spang;Ambulancebehandler;AmbuFlex
Kamilla;Nissen;Ambulancebehandler;AmbuFlex
Aage;Poulsen;Ambulancebehandler;AmbuFlex
Knud;Pilmark;Ambulancebehandler;AmbuFlex
Henry;Kristoffersen;Ambulancebehandler;AmbuFlex
Nikolaj;Hjortshøj;Ambulancebehandler;AmbuFlex
Christian;Østergaard;Ambulancebehandler;AmbuFlex
Tobias;Mørk;Ambulancebehandler;AmbuFlex
Ingrid;Solberg;Ambulancebehandler;AmbuFlex
Ellen;Buhr;Ambulancebehandler;AmbuFlex
Ulla;Thorø;Ambulancebehandler;AmbuFlex
Lars;Schmidt;Ambulancebehandler;AmbuFlex
Peder;Persson;Ambulancebehandler;AmbuFlex
Jørgen;Panum;Ambulancebehandler;AmbuFlex
Niels;Schmidt;Ambulancebehandler;AmbuFlex
Finn;Bach;Ambulancebehandler;AmbuFlex
Jesper;Mølgård;Ambulancebehandler;AmbuFlex
Silke;Hermansen;Ambulancebehandler;AmbuFlex
Jonas;Falk;Sygeplejeske;OperationOgIntensiv
Niels;Bendtsen;Sygeplejeske;OperationOgIntensiv
